# File Name: Greek_Lexicon_Strongs.txt
# File Size: 1571461     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Greek
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Greek word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
71	ἄγω	ágō	ag'-o	greek	Verb	properly, to lead; by implication, to bring, drive, (reflexively) go, (specially) pass (time), or (figuratively) induce; be, bring (forth), carry, (let) go, keep, lead away, be open; a primary verb
72	ἀγωγή	agōgḗ	ag-o-gay'	greek	Noun Feminine	a bringing up, i.e. mode of living; manner of life; reduplicated from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
73	ἀγών	agṓn	ag-one'	greek	Noun Masculine	properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety; conflict, contention, fight, race; from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
74	ἀγωνία	agōnía	ag-o-nee'-ah	greek	Noun Feminine	a struggle (properly, the state), i.e. (figuratively) anguish; agony; from <a href='/Strongs/strongs-g73' onclick='return ABMM("/Strongs","/strongs-g73");'>g73</a> (ἀγών)
75	ἀγωνίζομαι	agōnízomai	ag-o-nid'-zom-ahee	greek	Verb	to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something); fight, labor fervently, strive; from <a href='/Strongs/strongs-g73' onclick='return ABMM("/Strongs","/strongs-g73");'>g73</a> (ἀγών)
76	Ἀδάμ	Adám	ad-am'	greek	Noun Masculine	Adam, the first man; typically (of Jesus) man (as his representative); Adam; of Hebrew origin (<a href='/Strongs/strongs-h121' onclick='return ABMM("/Strongs","/strongs-h121");'>h121</a>)
77	ἀδάπανος	adápanos	ad-ap'-an-os	greek	Adjective	and <a href='/Strongs/strongs-g1160' onclick='return ABMM("/Strongs","/strongs-g1160");'>g1160</a> (δαπάνη); costless, i.e. gratuitous; without expense; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle)
78	Ἀδδί	Addí	ad-dee'	greek	Noun Masculine	Addi, an Israelite; Addi; probably of Hebrew origin (compare <a href='/Strongs/strongs-h5716' onclick='return ABMM("/Strongs","/strongs-h5716");'>h5716</a>)
79	ἀδελφή	adelphḗ	ad-el-fay'	greek	Noun Feminine	a sister (naturally or ecclesiastically); sister; feminine of <a href='/Strongs/strongs-g80' onclick='return ABMM("/Strongs","/strongs-g80");'>g80</a> (ἀδελφός)
80	ἀδελφός	adelphós	ad-el-fos'	greek	Noun Masculine	a brother (literally or figuratively) near or remote (much like <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α)); brother; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as a connective particle) and (the womb)
